City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,hilo,19.7297,-155.09,25.710000000000036,94,69,2.24,US,1670184194
113,chuy,-33.6971,-53.4616,23.680000000000007,70,48,4.7,UY,1670183944
114,necochea,-38.5473,-58.7368,21.260000000000048,59,0,7.59,AR,1670184046
115,ambilobe,-13.2,49.05,24.05000000000001,85,71,1.72,MG,1670184490
116,finnsnes,69.2296,17.9811,-8.659999999999968,71,98,2.08,NO,1670184491
117,tongliao,43.6125,122.2653,-12.71999999999997,55,0,4.29,CN,1670184491
118,inhambane,-23.865,35.3833,25.360000000000014,87,0,4.62,MZ,1670184136
119,tuatapere,-46.1333,167.6833,10.110000000000014,93,100,1.29,NZ,1670183945
120,harnosand,62.6323,17.9379,-10.0,84,95,2.1,SE,1670184492
121,lazaro cardenas,17.9583,-102.2,29.78000000000003,58,0,4.69,MX,1670183845
122,plettenberg bay,-34.0527,23.3716,15.350000000000023,76,48,1.12,ZA,1670183907
123,biak,-0.9131,122.8766,24.75,82,100,0.98,ID,1670184494
124,kushiro,42.975,144.3747,-2.9499999999999886,49,54,8.24,JP,1670184496
125,turukhansk,65.8167,87.9833,-14.789999999999964,96,100,4.27,RU,1670184142
126,magistralnyy,56.1725,107.4458,-18.139999999999986,94,100,3.21,RU,1670184497
127,mehamn,71.0357,27.8492,-5.0499999999999545,86,0,6.69,NO,1670184498
128,victoria,22.2855,114.1577,19.970000000000027,81,100,5.36,HK,1670184242
129,upernavik,72.7868,-56.1549,-6.149999999999977,72,100,2.44,GL,1670184235
130,izyum,49.2088,37.2485,-6.5,48,15,6.58,UA,1670184499
131,isla vista,34.4133,-119.861,16.57000000000005,89,100,2.57,US,1670184500
132,santa ines,-3.6667,-45.38,27.870000000000005,70,79,1.18,BR,1670184501
133,sao felix do xingu,-6.6447,-51.995,22.710000000000036,96,100,0.62,BR,1670183971
134,nabire,-3.3667,135.4833,23.760000000000048,89,100,1.75,ID,1670184502
135,aripuana,-9.1667,-60.6333,30.720000000000027,52,85,1.92,BR,1670184397
136,llanes,43.4198,-4.7549,9.28000000000003,67,2,3.36,ES,1670184312
137,lethem,3.3803,-59.7968,23.010000000000048,93,100,2.06,GY,1670184505
138,hermanus,-34.4187,19.2345,14.890000000000043,71,55,3.11,ZA,1670184507
139,riyadh,24.6877,46.7219,21.08000000000004,31,57,4.2,SA,1670184229
140,vangaindrano,-23.35,47.6,22.930000000000007,93,100,2.33,MG,1670184508
141,qaqortoq,60.7167,-46.0333,-9.45999999999998,63,2,3.88,GL,1670184508
142,petropavlovsk-kamchatskiy,53.0452,158.6483,-15.67999999999995,78,0,6.0,RU,1670184508
143,husavik,66.0449,-17.3389,0.20000000000004547,69,68,3.92,IS,1670184115
144,meulaboh,4.1363,96.1285,24.620000000000005,91,100,3.91,ID,1670184509
145,sistranda,63.7256,8.834,-1.0199999999999818,68,100,5.7,NO,1670184510
146,castro,-24.7911,-50.0119,22.27000000000004,79,100,2.24,BR,1670184510
